Campaign ID,Date,Campaign name,Campaign status,Campaign entity status,Campaign Objective,Spend in account currency,Impressions,Click-through conversions (Page visit),Engagement conversions (Page visit),View-through conversions (Page visit),Click-through conversions (Signup),Engagement conversions (Signup),View-through conversions (Signup),Click-through conversions (Checkout),Engagement conversions (Checkout),View-through conversions (Checkout),Click-through conversions (Custom),Engagement conversions (Custom),View-through conversions (Custom),Click-through value (Page visit),Engagement value (Page visit),View-through value (Page visit),Click-through value (Signup),Engagement value (Signup),View-through value (Signup),Click-through order value (Checkout),Engagement order value (Checkout),View-through order value (Checkout),Click-through value (Custom),Engagement value (Custom),View-through value (Custom),Reach,Frequency,CPM,Gross impressions,Gross Pin clicks,Cost per result,Result,Engagements,Engagement rate,CPE,Pin clicks,CTR,CPC,Saves,Outbound clicks,Conversions,CPV,CPCV (100%),CPCV (95%),Video views,Total 3-Second Video Views,Total video played at 25%,Total video played at 50%,Total video played at 75%,Total video played at 95%,Total video played at 100%,Total video starts,Total save rate,Paid impressions,Paid engagements,Engagement rate,Paid Pin clicks,Paid CTR,Paid saves,Paid outbound clicks,Paid save rate,Paid video views,3-Second Video Views,Paid video played at 25%,Paid video played at 50%,Paid video played at 75%,Paid video played at 95%,Paid video played at 100%,Paid video starts,Paid average video play time,Earned impressions,Earned engagements,Earned Pin clicks,Earned CTR,Earned saves,Earned outbound clicks,Earned save rate,Earned video views,Earned 3-Second Video Views,Earned video played at 25%,Earned video played at 50%,Earned video played at 75%,Earned video played at 95%,Earned video played at 100%,Earned video starts,Earned average video play time
C626744280134,2021-09-01,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,189.73,44757,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39610,1.1299234143037113,4.303860989497085,44716,421,[0.45065820427553444],[421],593,0.013249324128069352,0.31994452613827995,421,0.009406349844717027,0.45065820427553444,18,137,76,0,0,0,0,0,0,0,0,0,0,0,4.021717273275689E-4,44083,587,0.013315790667604292,415,0.009414059841662319,18,137,4.0832066783113674E-4,0,0,0,0,0,0,0,0,0,674,6,6,0.008902077151335312,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-02,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,1.2965931863727456,0,6,0,[0.0],[4],3,0.00463678516228748,0,4,0.0061823802163833074,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642,3,4,0.006230529595015576,0,1,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-03,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,553,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,1.265446224256293,0,0,0,[0.0],[2],2,0.003616636528028933,0,2,0.003616636528028933,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,2,2,0.003616636528028933,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-04,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,1.2335766423357664,0,0,0,[0.0],[1],1,0.0019723865877712033,0,1,0.0019723865877712033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,1,1,0.0019723865877712033,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-05,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,1.3887530562347188,0,0,0,[0.0],[1],1,0.0017605633802816902,0,1,0.0017605633802816902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,1,1,0.0017605633802816902,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-06,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,1.3402597402597403,0,0,0,[0.0],[2],2,0.003875968992248062,0,2,0.003875968992248062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,2,2,0.003875968992248062,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-07,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,510,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,1.2944162436548223,0,0,0,[0.0],[0],1,0.00196078431372549,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00196078431372549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,1,0,0,1,0,0.00196078431372549,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-08,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,1.374251497005988,0,0,0,[0.0],[5],7,0.015250544662309368,0,5,0.010893246187363835,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004357298474945534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,7,5,0.010893246187363835,2,0,0.004357298474945534,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-09,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,1.2813688212927756,0,0,0,[0.0],[0],2,0.005934718100890208,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005934718100890208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,2,0,0,2,0,0.005934718100890208,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-10,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,1.3582089552238805,0,0,0,[0.0],[7],7,0.015384615384615385,0,7,0.015384615384615385,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.002197802197802198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,7,7,0.015384615384615385,1,1,0.002197802197802198,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-11,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,1.218045112781955,0,0,0,[0.0],[1],1,0.0030864197530864196,0,1,0.0030864197530864196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,1,1,0.0030864197530864196,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-12,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,1.2311320754716981,0,0,0,[0.0],[1],1,0.0038314176245210726,0,1,0.0038314176245210726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,1,1,0.0038314176245210726,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-13,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,1.3089430894308942,0,0,0,[0.0],[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-14,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,350,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,1.3461538461538463,0,0,0,[0.0],[2],2,0.005714285714285714,0,2,0.005714285714285714,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,2,2,0.005714285714285714,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-15,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,1.2610441767068272,0,0,0,[0.0],[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-16,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,1.2391304347826086,0,0,0,[0.0],[1],1,0.0035087719298245615,0,1,0.0035087719298245615,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,1,1,0.0035087719298245615,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-17,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,1.3145539906103287,0,0,0,[0.0],[1],1,0.0035714285714285713,0,1,0.0035714285714285713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,1,1,0.0035714285714285713,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-18,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,1.2455089820359282,0,0,0,[0.0],[3],4,0.019230769230769232,0,3,0.014423076923076924,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004807692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,4,3,0.014423076923076924,1,0,0.004807692307692308,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-19,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,1.4181818181818182,0,0,0,[0.0],[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-20,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,254,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,1.343915343915344,0,0,0,[0.0],[1],1,0.003937007874015748,0,1,0.003937007874015748,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,1,1,0.003937007874015748,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-21,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,1.593939393939394,0,0,0,[0.0],[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-22,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,1.3850267379679144,0,0,0,[0.0],[4],4,0.015444015444015444,0,4,0.015444015444015444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,4,4,0.015444015444015444,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-23,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,1.2307692307692308,0,0,0,[0.0],[1],1,0.005208333333333333,0,1,0.005208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,1,1,0.005208333333333333,0,0,0,0,0,0,0,0,0,0,0,0
