Campaign Name,Date,Cost,CPC,CPM,Impression,Click,CTR,Reach,"Cost per 1,000 People Reached",Frequency,Conversions,CPA
Conversão_Principales,2021-08-20,911.97,0.4,1.92,474115,2304,0.49,421894,2.16,1.12,63,14.48
Conversão_Principales,2021-08-21,1998.98,0.41,2.12,942476,4923,0.52,792174,2.52,1.19,133,15.03
Conversão_Principales,2021-08-22,2000.0,0.41,2.13,939889,4904,0.52,788632,2.54,1.19,131,15.27
Conversão_Principales,2021-08-23,2000.0,0.43,2.4,834109,4698,0.56,688934,2.9,1.21,87,22.99
Conversão_Principales,2021-08-24,2000.0,0.48,2.68,745329,4152,0.56,608232,3.29,1.23,98,20.41
Conversão_Principales,2021-08-25,2000.0,0.46,2.54,788638,4343,0.55,659248,3.03,1.2,77,25.97
Conversão_Principales,2021-08-26,2000.0,0.46,2.19,913736,4305,0.47,780186,2.56,1.17,69,28.99
Conversão_Principales,2021-08-27,2200.0,0.52,2.73,805896,4249,0.53,673356,3.27,1.2,64,34.38
Conversão_Principales,2021-08-28,2200.0,0.47,2.31,950439,4640,0.49,806053,2.73,1.18,72,30.56
Conversão_Principales,2021-08-29,2194.65,0.46,2.2,995778,4812,0.48,840155,2.61,1.19,74,29.66
Conversão_Principales,2021-08-30,494.4,0.49,2.22,222673,1017,0.46,198938,2.49,1.12,12,41.2
Conversão_Principales,2021-08-31,0.0,0.0,0.0,1812,3,0.17,1557,0.0,1.16,0,0.0
Conversão_Principales,2021-09-01,658.82,0.29,1.62,405570,2243,0.55,358172,1.84,1.13,38,17.34
Conversão_Principales,2021-09-02,666.0,0.31,1.75,379895,2127,0.56,322333,2.07,1.18,19,35.05
Conversão_Principales,2021-09-03,250.0,0.31,2.14,116725,808,0.69,98738,2.53,1.18,9,27.78
Conversão_Principales,2021-09-04,250.0,0.26,1.83,136616,970,0.71,114266,2.19,1.2,17,14.71
Conversão_Principales,2021-09-05,332.47,0.26,1.64,202134,1286,0.64,172231,1.93,1.17,15,22.16
Conversão_Principales,2021-09-06,333.0,0.25,1.75,190483,1331,0.7,159878,2.08,1.19,14,23.79
Conversão_Principales,2021-09-07,667.0,0.27,1.45,460552,2508,0.54,399042,1.67,1.15,41,16.27
Conversão_Principales,2021-09-08,667.0,0.32,1.79,371646,2068,0.56,316275,2.11,1.18,34,19.62
Conversão_Principales,2021-09-09,667.0,0.35,2.25,296547,1910,0.64,207783,3.21,1.43,29,23.0
Conversão_Principales,2021-09-10,665.46,0.4,2.37,281083,1647,0.59,207441,3.21,1.36,27,24.65
Conversão_Principales,2021-09-11,667.0,0.35,2.33,286782,1923,0.67,199992,3.34,1.43,21,31.76
Conversão_Principales,2021-09-12,666.84,0.32,2.11,315433,2101,0.67,216880,3.07,1.45,28,23.82
Conversão_Principales,2021-09-13,667.0,0.35,2.39,279291,1898,0.68,192246,3.47,1.45,31,21.52
Conversão_Principales,2021-09-14,667.0,0.36,2.57,259699,1846,0.71,182642,3.65,1.42,19,35.11
Conversão_Principales,2021-09-15,667.0,0.47,3.03,220026,1425,0.65,158810,4.2,1.39,16,41.69
Conversão_Principales,2021-09-16,663.82,0.42,3.04,218630,1563,0.71,149336,4.45,1.46,17,39.05
Conversão_Principales,2021-09-17,667.0,0.42,3.37,197915,1581,0.8,135034,4.94,1.47,22,30.32
Conversão_Principales,2021-09-18,667.0,0.39,3.07,217231,1728,0.8,151830,4.39,1.43,31,21.52
Conversão_Principales,2021-09-19,667.0,0.36,2.52,265050,1862,0.7,181165,3.68,1.46,18,37.06
Conversão_Principales,2021-09-20,667.0,0.39,2.97,224293,1699,0.76,152848,4.36,1.47,12,55.58
Conversão_Principales,2021-09-21,667.0,0.43,3.67,181629,1559,0.86,121087,5.51,1.5,14,47.64
Conversão_Principales,2021-09-22,667.0,0.43,3.17,210360,1561,0.74,142457,4.68,1.48,18,37.06
Conversão_Principales,2021-09-23,855.0,0.48,3.59,237831,1778,0.75,158147,5.41,1.5,28,30.54
Conversão_Principales,2021-09-24,854.98,0.45,3.64,235012,1896,0.81,158067,5.41,1.49,27,31.67
Conversão_Principales,2021-09-25,855.0,0.42,3.18,268945,2059,0.77,178181,4.8,1.51,27,31.67
Conversão_Principales,2021-09-26,855.0,0.38,3.06,279511,2222,0.79,185571,4.61,1.51,29,29.48
Conversão_Principales,2021-09-27,855.0,0.4,3.55,241026,2151,0.89,157537,5.43,1.53,23,37.17
Conversão_Principales,2021-09-28,854.58,0.45,3.25,263247,1909,0.73,177317,4.82,1.48,24,35.61
Conversão_Principales,2021-09-29,847.74,0.49,3.57,237487,1747,0.74,162472,5.22,1.46,16,52.98
Conversão_Principales,2021-09-30,799.6,0.43,2.8,286057,1864,0.65,199615,4.01,1.43,23,34.77
Conversão_Principales,2021-10-01,66.08,0.28,1.86,35581,237,0.67,30752,2.15,1.16,2,33.04