,Faturamento Total,Dia,Cliques_facebook,Conversões_google,Cliques_google
0,527602.4746738779,2021-04-08,193,237.75,660
1,438923.0599015353,2021-04-09,177,199.67,443
2,679255.8704411956,2021-04-10,945,237.01,530
3,842523.3140245798,2021-04-11,852,268.5,587
4,634463.416336879,2021-04-12,160,300.86,757
5,445954.6019845464,2021-04-13,202,127.0,267
6,594768.7196403809,2021-04-14,217,163.0,292
7,613092.228383168,2021-04-15,179,388.71,933
8,590082.7619889469,2021-04-16,169,273.0,778
9,339988.508210583,2021-04-17,113,122.33,340
10,589879.0034172366,2021-04-18,411,248.02,536
11,581931.7651631223,2021-04-19,348,156.49,369
12,642043.9424754516,2021-04-20,510,276.87,603
13,642401.3348022541,2021-04-21,645,358.12,783
14,446971.8303717572,2021-04-22,675,184.0,304
15,600398.6543997766,2021-04-23,816,248.0,608
16,913634.1126824262,2021-04-24,1298,199.0,534
17,840541.8698824251,2021-04-25,1776,467.97,1024
18,980588.3826630202,2021-04-26,1884,496.79999999999995,85
19,691457.198646267,2021-04-27,1289,151.0,278
20,1105553.5643937748,2021-04-28,1959,192.23,421
21,668587.4397262915,2021-04-29,1543,361.24,797
22,688734.6861231426,2021-04-30,2298,218.75,433
23,722821.5020951636,2021-05-03,816,187.98,397
24,538624.4542205605,2021-05-04,616,137.16,304
25,590518.0442098815,2021-05-07,356,258.21000000000004,521
26,640072.7186972216,2021-05-08,668,389.05,894
27,576342.6761832171,2021-05-09,735,327.29,896
28,330955.2801479113,2021-05-10,91,135.32999999999998,222
29,370069.8315691423,2021-05-11,130,179.44,410
30,406849.1363001211,2021-05-12,102,202.31,455
31,542145.5962735172,2021-05-13,117,138.0,384
32,537750.8897925164,2021-05-14,322,326.38,787
33,598247.272548364,2021-05-15,372,138.0,270
34,618141.8115393966,2021-05-16,438,247.3,616
35,429447.51704358746,2021-05-17,66,271.15999999999997,485
36,530087.2140241133,2021-05-18,119,345.17,486
37,425217.2128435308,2021-05-19,129,167.97,424
38,512499.2203830348,2021-05-20,122,31.0,209
39,635518.8457753573,2021-05-21,438,285.0,640
40,696139.0732984976,2021-05-22,656,267.48,638
41,606106.1894517587,2021-05-23,685,300.61,586
42,403399.4738743644,2021-05-24,35,304.26,734
43,508427.02135381184,2021-05-25,93,353.48,596
44,385236.8245634335,2021-05-26,128,161.79000000000002,226
45,415932.3058548492,2021-05-27,119,332.99,556
46,740724.2904620364,2021-05-28,466,626.39,958
47,745617.9721370025,2021-05-29,933,355.15999999999997,771
48,816257.3525254107,2021-05-30,923,291.90999999999997,709
49,455207.1629345311,2021-05-31,77,247.77,480
50,676801.4057569896,2021-06-01,156,372.97,1178
51,661199.192941464,2021-06-02,322,308.15999999999997,686
52,942803.744267971,2021-06-03,1352,199.0,667
53,900563.1094399127,2021-06-04,1082,584.36,1192
54,721538.4844933769,2021-06-05,1220,348.27,883
55,820289.3317797189,2021-06-06,1248,476.14,1039
56,720219.6619006044,2021-06-07,605,328.5,824
57,768119.5734524833,2021-06-08,925,275.53,711
58,618082.1035505529,2021-06-09,851,301.66999999999996,820
59,812996.0662204651,2021-06-10,798,340.51,786
60,832775.5461713199,2021-06-11,468,611.51,408
61,678756.8203873204,2021-06-12,666,387.29999999999995,923
62,1102207.17160945,2021-06-13,732,1285.54,678
63,638484.5923178465,2021-06-14,534,306.5,766
64,613167.6531955749,2021-06-15,679,410.94,1081
65,652563.9922381425,2021-06-16,544,175.0,566
66,697661.7571721602,2021-06-17,716,328.90999999999997,874
67,592895.2113353707,2021-06-18,704,201.0,532
68,839490.4608084469,2021-06-19,844,354.23,698
69,606715.4386215955,2021-06-20,944,353.0,913
70,733273.2334927475,2021-06-21,839,253.17000000000002,756
71,748268.504637891,2021-06-22,804,216.0,491
72,687989.1352009936,2021-06-23,508,213.72,547
73,679363.4376151377,2021-06-24,587,264.0,544
74,598896.3297329752,2021-06-25,622,268.49,639
75,667767.4321302497,2021-06-26,668,341.0,845
76,865638.8349359268,2021-06-27,838,385.16,910
77,610116.0484356981,2021-06-28,594,240.05,499
78,450746.5867064183,2021-06-29,542,169.0,380
79,611785.6733603324,2021-06-30,525,221.0,616
80,547588.7830329221,2021-07-01,233,184.57,368
81,519606.5409185913,2021-07-02,219,202.0,474
82,643011.7299440176,2021-07-03,372,270.01,494
83,666744.6525164379,2021-07-04,360,602.64,187
84,487557.23615262273,2021-07-05,184,259.12,549
85,507173.3306369687,2021-07-06,164,203.01,367
86,598245.0172482149,2021-07-07,167,306.96000000000004,781
87,452659.08432667423,2021-07-08,304,308.0,551
88,587989.4714502397,2021-07-09,286,320.7,533
89,682090.7947917731,2021-07-10,216,351.15999999999997,840
90,511551.7250267805,2021-07-11,294,156.76,456
91,591997.5972453889,2021-07-12,140,382.72,883
92,569453.6600396464,2021-07-13,201,463.12,1087
93,631934.823819161,2021-07-14,91,379.47,881
94,560234.8568155256,2021-07-15,134,687.97,151
95,442529.42280304665,2021-07-16,207,211.83,405
96,623885.0635687748,2021-07-17,374,223.06,403
97,598189.7342726251,2021-07-18,349,200.01999999999998,481
98,678170.9023663983,2021-07-19,220,457.1,1035
99,398191.85214629245,2021-07-20,243,127.41999999999999,311
100,575391.021993567,2021-07-21,257,284.0,714
101,495978.8546988237,2021-07-22,130,193.5,542
102,549540.0881505685,2021-07-23,145,133.05,349
103,466769.756392199,2021-07-24,292,259.19,581
104,550315.1886303674,2021-07-25,264,315.45,740
105,652406.2179174884,2021-07-26,112,331.26,832
106,463915.8499701561,2021-07-27,142,147.82999999999998,283
107,716238.4100200315,2021-07-28,145,551.52,97
108,451467.87646736944,2021-07-29,249,203.0,463
109,533739.2265969827,2021-07-30,134,259.0,692
110,419191.6144398881,2021-07-31,245,116.0,315
111,649023.5711365025,2021-08-02,237,347.0,556
112,481693.9088446568,2021-08-03,117,71.5,199
113,478777.2151852905,2021-08-04,228,234.0,609
114,559012.8614078185,2021-08-05,333,173.18,327
115,542312.1133631229,2021-08-06,304,196.0,352
116,519705.0670258596,2021-08-07,329,332.43,750
117,479690.6766232325,2021-08-08,368,267.25,632
118,518115.2482873912,2021-08-09,369,308.26,676
119,774869.3198549658,2021-08-10,334,395.48,998
120,491069.30447343295,2021-08-11,249,309.0,560
121,459770.91293726256,2021-08-12,249,304.55,717
122,691507.2521048193,2021-08-13,432,441.85,867
123,483076.6072922946,2021-08-14,824,181.73000000000002,417
124,742727.8653366358,2021-08-15,849,349.0,799
125,621023.8229799541,2021-08-16,320,524.26,997
126,666608.2964022941,2021-08-17,517,150.0,367
127,529609.2390496812,2021-08-18,360,335.72,685
128,564787.1327087767,2021-08-19,381,378.23,1013
129,614328.5618041544,2021-08-20,370,238.34,488
130,742743.3147318943,2021-08-21,742,222.22,480
131,765944.9954322538,2021-08-22,829,399.5,702
132,544560.312632814,2021-08-23,228,335.37,814
133,645018.6776605903,2021-08-24,371,201.0,426
134,549175.0557690125,2021-08-25,276,439.0,991
135,478105.7950018781,2021-08-26,229,287.83,672
136,532082.8214647248,2021-08-27,372,228.0,492
137,419486.25980021217,2021-08-28,604,155.0,461
138,497767.704052978,2021-08-29,608,230.35,492
139,468677.1506087499,2021-08-30,461,264.03,772
140,500916.4902020347,2021-08-31,314,165.59,422
141,740377.8428101082,2021-09-01,1106,267.22,673
142,706912.5024416295,2021-09-02,1200,211.17000000000002,444
143,909998.5531507168,2021-09-03,920,927.13,256
144,774488.3946386635,2021-09-04,677,361.32,733
145,758202.9455297961,2021-09-05,690,448.4,1025
146,654235.7887843887,2021-09-06,764,480.0,779
147,754914.6876047648,2021-09-07,1152,350.0,756
148,502392.2548544378,2021-09-08,1053,155.0,363
149,830165.9585092836,2021-09-09,1159,266.52,681
150,538439.4921297759,2021-09-10,952,255.63,547
151,1002960.6002884482,2021-09-11,1613,465.90999999999997,1013
152,1125523.5748278457,2021-09-12,1947,497.5,957
153,701163.2060243761,2021-09-13,1060,437.29,1063
154,896996.1581304236,2021-09-14,1592,238.0,447
155,940139.0409547398,2021-09-15,1037,335.98,951
156,813969.6205492687,2021-09-16,1222,219.68,613
157,714061.6458510511,2021-09-17,1062,114.69,302
158,845523.6454212671,2021-09-18,1613,196.0,710
159,1110333.2388870036,2021-09-19,1878,372.0,837
160,843903.3164488648,2021-09-20,1018,500.18,1663
161,899023.8908696665,2021-09-21,1371,267.31,1299
162,949586.3240334858,2021-09-22,1219,356.58,1431
163,893838.313736168,2021-09-23,748,468.08000000000004,1424
164,993235.1828198198,2021-09-24,961,423.13,1672
165,952739.6373600444,2021-09-25,1149,405.81,1492
166,855089.0769642025,2021-09-26,1376,478.70000000000005,1748
167,677874.2927886792,2021-09-27,905,339.97,851
168,727487.5182259567,2021-09-28,1421,322.90999999999997,579
169,853324.2758458288,2021-09-29,1588,190.0,483
170,809055.150045225,2021-09-30,1770,159.0,450
171,895908.5455857351,2021-10-01,2016,320.0,1139
172,927552.8964516168,2021-10-04,1249,244.5,523
173,1346298.900637074,2021-10-05,2191,391.0,1101
174,957417.4183400462,2021-10-06,2037,464.0,1141
175,947683.888623957,2021-10-07,1946,144.17000000000002,453
176,612125.2122036173,2021-10-08,1523,172.62,495
177,913955.2188990656,2021-10-09,2423,218.0,533
178,1378372.614894749,2021-10-10,2502,408.4,1183
179,979706.4014519582,2021-10-11,2015,245.09,534
180,1261709.5809111649,2021-10-12,2427,458.27,1205
181,755074.2753639752,2021-10-13,1018,217.0,555
182,706400.5056306934,2021-10-14,1256,178.0,462
183,804734.2664030651,2021-10-15,1407,321.21,744
184,1371599.9025185592,2021-10-16,2394,375.65999999999997,689
185,1117398.5634170377,2021-10-17,1869,264.5,668
186,525651.5895269195,2021-10-18,1215,152.78,405
187,586754.0603832091,2021-10-19,1244,349.73,863
188,763765.1982442093,2021-10-20,1113,194.17,437
189,790013.4882918729,2021-10-21,1304,119.5,413
190,913653.7304963024,2021-10-22,1175,161.86,554
191,815441.8065064668,2021-10-23,1455,378.19,759
192,1462697.2137750494,2021-10-24,3137,327.83,772
193,697411.4922898286,2021-10-25,1446,218.0,433
194,1037843.7279434744,2021-10-26,1609,299.76,720
195,697607.8465155682,2021-10-27,1374,163.62,415
196,717626.4839887986,2021-10-28,1900,124.08,343
197,1037804.9071564696,2021-10-29,2318,343.67,659
198,933069.2073887622,2021-10-30,1760,279.33000000000004,859
199,1550524.0764660551,2021-10-31,2933,364.0,920
