,Faturamento Total
2021-01-01,6584.239999999999
2021-01-02,467560.9799999999
2021-01-03,450545.78
2021-01-04,452314.95
2021-01-05,491909.6100000001
2021-01-06,500579.54999999993
2021-01-07,543620.0399999998
2021-01-08,594891.9699999999
2021-01-09,938047.6
2021-01-10,801503.11
2021-01-11,412331.13
2021-01-12,414428.69
2021-01-13,454715.28000000014
2021-01-14,423537.3900000001
2021-01-15,478046.53
2021-01-16,975752.4700000002
2021-01-17,956866.63
2021-01-18,409346.1599999998
2021-01-19,406312.89
2021-01-20,477005.4099999999
2021-01-21,425445.5999999999
2021-01-22,533852.9299999999
2021-01-23,866109.4500000002
2021-01-24,809696.1599999996
2021-01-25,578844.4700000001
2021-01-26,351257.61999999994
2021-01-27,462214.4400000002
2021-01-28,479886.19
2021-01-29,670971.2300000002
2021-01-30,827403.5599999999
2021-01-31,778041.2800000001
2021-02-01,363317.0799999999
2021-02-02,402035.22
2021-02-03,455161.4199999998
2021-02-04,509389.0000000001
2021-02-05,506681.2
2021-02-06,1010964.5
2021-02-07,885556.4200000002
2021-02-08,327452.7899999999
2021-02-09,361870.82
2021-02-10,381601.54
2021-02-11,349736.19
2021-02-12,490661.0999999999
2021-02-13,806442.2699999999
2021-02-14,872379.0099999998
2021-02-15,637358.7300000002
2021-02-16,623067.9599999998
2021-02-17,386599.96
2021-02-18,417159.8700000001
2021-02-19,540693.8799999999
2021-02-20,1026552.28
2021-02-21,941424.16
2021-02-22,329337.41000000003
2021-02-23,398945.48999999993
2021-02-24,333960.2799999999
2021-02-25,346771.8800000001
2021-02-26,453740.5399999999
2021-02-27,870523.3700000001
2021-02-28,815689.9900000001
2021-03-01,268153.53
2021-03-02,320842.06999999995
2021-03-03,335384.8700000001
2021-03-04,358509.30999999994
2021-03-05,436681.2
2021-03-06,471384.5500000001
2021-03-07,475207.85
2021-03-08,162861.3
2021-03-09,159018.19999999998
2021-03-10,172415.46000000002
2021-03-11,184711.96
2021-03-12,311618.9699999999
2021-03-13,572486.8300000001
2021-03-14,578185.2000000001
2021-03-15,134816.22999999998
2021-03-16,162315.96999999997
2021-03-17,363511.4799999999
2021-03-18,284151.11999999994
2021-03-19,406204.06000000006
2021-03-20,924517.63
2021-03-21,1072231.9
2021-03-22,247444.13999999996
2021-03-23,336367.17000000004
2021-03-24,333254.92
2021-03-25,404861.42
2021-03-26,456217.82
2021-03-27,912544.7
2021-03-28,1016809.4800000002
2021-03-29,269931.52
2021-03-30,265935.3
2021-03-31,301346.8399999999
2021-04-01,387224.82
2021-04-02,636814.6200000001
2021-04-03,636092.4799999999
2021-04-04,696456.4800000001
2021-04-05,180318.88
2021-04-06,187638.3
2021-04-07,240040.18000000005
2021-04-08,286657.31999999995
2021-04-09,506971.62999999983
2021-04-10,1117867.4400000002
2021-04-11,1198845.3599999996
2021-04-12,144902.85999999996
2021-04-13,148076.83000000007
2021-04-14,178628.66999999995
2021-04-15,196590.07
2021-04-16,287995.22
2021-04-17,496431.1299999999
2021-04-18,597492.0899999999
2021-04-19,169387.51999999996
2021-04-20,220265.24999999997
2021-04-21,528510.6899999997
2021-04-22,204304.4900000001
2021-04-23,356133.46
2021-04-24,829062.7200000001
2021-04-25,816774.1199999999
2021-04-26,236856.03
2021-04-27,254057.86000000013
2021-04-28,580895.4
2021-04-29,277583.7500000001
2021-04-30,406041.1499999996
2021-05-01,875886.2800000005
2021-05-02,860607.62
2021-05-03,279927.01999999984
2021-05-04,328274.49999999977
2021-05-05,345268.2199999999
2021-05-06,402800.4399999999
2021-05-07,422419.1900000003
2021-05-08,956877.88
2021-05-09,870009.3900000004
2021-05-10,260073.58000000005
2021-05-11,307585.78
2021-05-12,254365.04000000004
2021-05-13,264418.28
2021-05-14,411817.55
2021-05-15,843937.8699999999
2021-05-16,799764.5000000001
2021-05-17,263826.3999999998
2021-05-18,275690.27
2021-05-19,327352.85000000003
2021-05-20,350952.0299999998
2021-05-21,497991.01
2021-05-22,785898.5399999996
2021-05-23,746525.97
2021-05-24,258404.94999999995
2021-05-25,287097.6
2021-05-26,309574.3199999999
2021-05-27,335514.31999999983
2021-05-28,512296.63
2021-05-29,936129.5599999996
2021-05-30,736833.0599999997
2021-05-31,256633.35000000003
2021-06-01,322128.86
2021-06-02,407914.02
2021-06-03,797499.5399999999
2021-06-04,622770.71
2021-06-05,947528.9600000004
2021-06-06,856690.2100000001
2021-06-07,256269.23
2021-06-08,283292.1099999999
2021-06-09,362684.75999999983
2021-06-10,338419.77
2021-06-11,459282.2600000002
2021-06-12,1037689.9599999996
2021-06-13,767019.6199999999
2021-06-14,266997.92
2021-06-15,310697.52
2021-06-16,297249.3099999998
2021-06-17,293836.92000000004
2021-06-18,435296.31
2021-06-19,801429.9199999999
2021-06-20,834655.0200000005
2021-06-21,261276.8399999999
2021-06-22,265071.13
2021-06-23,281332.7199999999
2021-06-24,368232.31
2021-06-25,486033.03
2021-06-26,977737.8299999996
2021-06-27,964832.8299999998
2021-06-28,295133.6199999999
2021-06-29,237097.6
2021-06-30,264940.98999999993
2021-07-01,335761.59
2021-07-02,478534.2600000002
2021-07-03,893682.01
2021-07-04,811735.9700000004
2021-07-05,325497.8700000002
2021-07-06,347349.84
2021-07-07,374366.9800000001
2021-07-08,445531.3400000001
2021-07-09,761983.4399999992
2021-07-10,935242.65
2021-07-11,903683.2700000004
2021-07-12,390695.7100000001
2021-07-13,430141.9199999998
2021-07-14,466979.9199999999
2021-07-15,516222.1300000001
2021-07-16,570478.7600000001
2021-07-17,979512.3
2021-07-18,962008.21
2021-07-19,722806.8199999998
2021-07-20,1486958.5600000003
2021-07-21,407718.03
2021-07-22,439917.6699999999
2021-07-23,554918.2899999999
2021-07-24,971147.9700000002
2021-07-25,970072.3
2021-07-26,428392.8099999999
2021-07-27,459270.9199999999
2021-07-28,298983.05
2021-07-29,322393.13
2021-07-30,407494.37
2021-07-31,791293.7800000001
2021-08-01,810878.1600000003
2021-08-02,310801.16
2021-08-03,286408.84
2021-08-04,319227.18999999994
2021-08-05,375789.1700000001
2021-08-06,571259.1799999998
2021-08-07,1051389.4399999997
2021-08-08,963533.22
2021-08-09,336472.2899999999
2021-08-10,400217.04000000015
2021-08-11,336462.3800000001
2021-08-12,330204.6000000001
2021-08-13,436126.20000000007
2021-08-14,956668.8899999995
2021-08-15,1014892.98
2021-08-16,294181.2900000001
2021-08-17,400557.78000000014
2021-08-18,460686.36
2021-08-19,502754.53
2021-08-20,672085.0100000001
2021-08-21,1160131.64
2021-08-22,1121960.9199999997
2021-08-23,402804.87
2021-08-24,434270.63
2021-08-25,507949.9699999996
2021-08-26,519867.9500000001
2021-08-27,500115.36999999976
2021-08-28,939375.2900000002
2021-08-29,917821.0
2021-08-30,327125.2500000001
2021-08-31,410276.7
2021-09-01,446880.1499999997
2021-09-02,495261.71
2021-09-03,699783.2699999998
2021-09-04,1140939.98
2021-09-05,1137429.3
2021-09-06,825125.3000000002
2021-09-07,1047161.0000000003
2021-09-08,381315.0699999998
2021-09-09,393938.4199999999
2021-09-10,566876.25
2021-09-11,1187799.71
2021-09-12,1195119.8600000003
2021-09-13,439545.3499999999
2021-09-14,469600.66999999975
2021-09-15,384463.96
2021-09-16,401029.09
2021-09-17,597481.63
2021-09-18,1248857.33
2021-09-19,1208268.2599999998
2021-09-20,501139.9199999999
2021-09-21,413758.72
2021-09-22,358908.99999999994
2021-09-23,470941.3300000001
2021-09-24,661508.2799999999
2021-09-25,1058489.21
2021-09-26,1193315.8999999994
2021-09-27,459806.9099999999
2021-09-28,515429.0999999998
2021-09-29,471204.31999999983
2021-09-30,508691.3499999997
2021-10-01,603035.4099999997
2021-10-02,1217603.2900000005
2021-10-03,778522.4400000002
2021-10-04,0.0
2021-10-05,0.0
2021-10-06,0.0
2021-10-07,405341.0099999997
2021-10-08,671816.9
2021-10-09,1009849.8799999997
2021-10-10,944978.16
2021-10-11,829812.3899999995
2021-10-12,1240008.0300000005
2021-10-13,440960.4599999999
2021-10-14,484833.7099999999
2021-10-15,708917.0100000004
2021-10-16,1092433.5299999996
2021-10-17,954526.98
2021-10-18,290788.5899999999
2021-10-19,293807.48000000004
2021-10-20,332256.31999999995
2021-10-21,424611.4099999997
2021-10-22,675316.33
2021-10-23,1301002.4
2021-10-24,944790.68
2021-10-25,342183.7800000001
2021-10-26,455164.7299999998
2021-10-27,451364.4699999997
2021-10-28,504187.13999999984
2021-10-29,678384.3599999998
2021-10-30,1160452.5199999998
2021-10-31,972095.6400000004
