,Faturamento Total,Dia
0,286657.31999999995,2021-04-08
1,506971.62999999983,2021-04-09
2,1117867.4400000002,2021-04-10
3,1198845.3599999996,2021-04-11
4,144902.85999999996,2021-04-12
5,148076.83000000007,2021-04-13
6,178628.66999999995,2021-04-14
7,196590.07,2021-04-15
8,287995.22,2021-04-16
9,496431.1299999999,2021-04-17
10,597492.0899999999,2021-04-18
11,169387.51999999996,2021-04-19
12,220265.24999999997,2021-04-20
13,528510.6899999997,2021-04-21
14,204304.4900000001,2021-04-22
15,356133.46,2021-04-23
16,829062.7200000001,2021-04-24
17,816774.1199999999,2021-04-25
18,236856.03,2021-04-26
19,254057.86000000013,2021-04-27
20,580895.4,2021-04-28
21,277583.7500000001,2021-04-29
22,406041.1499999996,2021-04-30
23,279927.01999999984,2021-05-03
24,328274.49999999977,2021-05-04
25,422419.1900000003,2021-05-07
26,956877.88,2021-05-08
27,870009.3900000004,2021-05-09
28,260073.58000000005,2021-05-10
29,307585.78,2021-05-11
30,254365.04000000004,2021-05-12
31,264418.28,2021-05-13
32,411817.55,2021-05-14
33,843937.8699999999,2021-05-15
34,799764.5000000001,2021-05-16
35,263826.3999999998,2021-05-17
36,275690.27,2021-05-18
37,327352.85000000003,2021-05-19
38,350952.0299999998,2021-05-20
39,497991.01,2021-05-21
40,785898.5399999996,2021-05-22
41,746525.97,2021-05-23
42,258404.94999999995,2021-05-24
43,287097.6,2021-05-25
44,309574.3199999999,2021-05-26
45,335514.31999999983,2021-05-27
46,512296.63,2021-05-28
47,936129.5599999996,2021-05-29
48,736833.0599999997,2021-05-30
49,256633.35000000003,2021-05-31
50,322128.86,2021-06-01
51,407914.02,2021-06-02
52,797499.5399999999,2021-06-03
53,622770.71,2021-06-04
54,947528.9600000004,2021-06-05
55,856690.2100000001,2021-06-06
56,256269.23,2021-06-07
57,283292.1099999999,2021-06-08
58,362684.75999999983,2021-06-09
59,338419.77,2021-06-10
60,459282.2600000002,2021-06-11
61,1037689.9599999996,2021-06-12
62,767019.6199999999,2021-06-13
63,266997.92,2021-06-14
64,310697.52,2021-06-15
65,297249.3099999998,2021-06-16
66,293836.92000000004,2021-06-17
67,435296.31,2021-06-18
68,801429.9199999999,2021-06-19
69,834655.0200000005,2021-06-20
70,261276.8399999999,2021-06-21
71,265071.13,2021-06-22
72,281332.7199999999,2021-06-23
73,368232.31,2021-06-24
74,486033.03,2021-06-25
75,977737.8299999996,2021-06-26
76,964832.8299999998,2021-06-27
77,295133.6199999999,2021-06-28
78,237097.6,2021-06-29
79,264940.98999999993,2021-06-30
80,335761.59,2021-07-01
81,478534.2600000002,2021-07-02
82,893682.01,2021-07-03
83,811735.9700000004,2021-07-04
84,325497.8700000002,2021-07-05
85,347349.84,2021-07-06
86,374366.9800000001,2021-07-07
87,445531.3400000001,2021-07-08
88,761983.4399999992,2021-07-09
89,935242.65,2021-07-10
90,903683.2700000004,2021-07-11
91,390695.7100000001,2021-07-12
92,430141.9199999998,2021-07-13
93,466979.9199999999,2021-07-14
94,516222.1300000001,2021-07-15
95,570478.7600000001,2021-07-16
96,979512.3,2021-07-17
97,962008.21,2021-07-18
98,722806.8199999998,2021-07-19
99,1486958.5600000003,2021-07-20
100,407718.03,2021-07-21
101,439917.6699999999,2021-07-22
102,554918.2899999999,2021-07-23
103,971147.9700000002,2021-07-24
104,970072.3,2021-07-25
105,428392.8099999999,2021-07-26
106,459270.9199999999,2021-07-27
107,298983.05,2021-07-28
108,322393.13,2021-07-29
109,407494.37,2021-07-30
110,791293.7800000001,2021-07-31
111,310801.16,2021-08-02
112,286408.84,2021-08-03
113,319227.18999999994,2021-08-04
114,375789.1700000001,2021-08-05
115,571259.1799999998,2021-08-06
116,1051389.4399999997,2021-08-07
117,963533.22,2021-08-08
118,336472.2899999999,2021-08-09
119,400217.04000000015,2021-08-10
120,336462.3800000001,2021-08-11
121,330204.6000000001,2021-08-12
122,436126.20000000007,2021-08-13
123,956668.8899999995,2021-08-14
124,1014892.98,2021-08-15
125,294181.2900000001,2021-08-16
126,400557.78000000014,2021-08-17
127,460686.36,2021-08-18
128,502754.53,2021-08-19
129,672085.0100000001,2021-08-20
130,1160131.64,2021-08-21
131,1121960.9199999997,2021-08-22
132,402804.87,2021-08-23
133,434270.63,2021-08-24
134,507949.9699999996,2021-08-25
135,519867.9500000001,2021-08-26
136,500115.36999999976,2021-08-27
137,939375.2900000002,2021-08-28
138,917821.0,2021-08-29
139,327125.2500000001,2021-08-30
140,410276.7,2021-08-31
141,446880.1499999997,2021-09-01
142,495261.71,2021-09-02
143,699783.2699999998,2021-09-03
144,1140939.98,2021-09-04
145,1137429.3,2021-09-05
146,825125.3000000002,2021-09-06
147,1047161.0000000003,2021-09-07
148,381315.0699999998,2021-09-08
149,393938.4199999999,2021-09-09
150,566876.25,2021-09-10
151,1187799.71,2021-09-11
152,1195119.8600000003,2021-09-12
153,439545.3499999999,2021-09-13
154,469600.66999999975,2021-09-14
155,384463.96,2021-09-15
156,401029.09,2021-09-16
157,597481.63,2021-09-17
158,1248857.33,2021-09-18
159,1208268.2599999998,2021-09-19
160,501139.9199999999,2021-09-20
161,413758.72,2021-09-21
162,358908.99999999994,2021-09-22
163,470941.3300000001,2021-09-23
164,661508.2799999999,2021-09-24
165,1058489.21,2021-09-25
166,1193315.8999999994,2021-09-26
167,459806.9099999999,2021-09-27
168,515429.0999999998,2021-09-28
169,471204.31999999983,2021-09-29
170,508691.3499999997,2021-09-30
171,603035.4099999997,2021-10-01
172,0.0,2021-10-04
173,0.0,2021-10-05
174,0.0,2021-10-06
175,405341.0099999997,2021-10-07
176,671816.9,2021-10-08
177,1009849.8799999997,2021-10-09
178,944978.16,2021-10-10
179,829812.3899999995,2021-10-11
180,1240008.0300000005,2021-10-12
181,440960.4599999999,2021-10-13
182,484833.7099999999,2021-10-14
183,708917.0100000004,2021-10-15
184,1092433.5299999996,2021-10-16
185,954526.98,2021-10-17
186,290788.5899999999,2021-10-18
187,293807.48000000004,2021-10-19
188,332256.31999999995,2021-10-20
189,424611.4099999997,2021-10-21
190,675316.33,2021-10-22
191,1301002.4,2021-10-23
192,944790.68,2021-10-24
193,342183.7800000001,2021-10-25
194,455164.7299999998,2021-10-26
195,451364.4699999997,2021-10-27
196,504187.13999999984,2021-10-28
197,678384.3599999998,2021-10-29
198,1160452.5199999998,2021-10-30
199,972095.6400000004,2021-10-31
